Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Season
Black,75,50,100,6.5,1000,20,Sugarcane,Urea,Kharif
Black,80,50,100,6.5,1000,20,Sugarcane,Urea,Kharif
Black,85,50,100,6.5,1000,20,Sugarcane,Urea,Kharif
Black,90,50,100,6.5,1000,20,Sugarcane,Urea,Kharif
Black,95,50,100,6.5,1000,20,Sugarcane,Urea,Kharif
Black,100,50,100,6.5,1000,20,Sugarcane,Urea,Kharif
Black,75,55,105,7,1100,25,Sugarcane,Urea,Kharif
Black,80,55,105,7,1100,25,Sugarcane,Urea,Kharif
Black,85,55,105,7,1100,25,Sugarcane,Urea,Kharif
Black,90,55,105,7,1100,25,Sugarcane,Urea,Kharif
Black,95,55,105,7,1100,25,Sugarcane,Urea,Kharif
Black,100,55,105,7,1100,25,Sugarcane,Urea,Kharif
Black,75,60,110,7.5,1200,30,Sugarcane,Urea,Kharif
Black,80,60,110,7.5,1200,30,Sugarcane,Urea,Kharif
Black,85,60,110,7.5,1200,30,Sugarcane,Urea,Kharif
Black,90,60,110,7.5,1200,30,Sugarcane,Urea,Kharif
Black,95,60,110,7.5,1200,30,Sugarcane,Urea,Kharif
Black,100,60,110,7.5,1200,30,Sugarcane,Urea,Kharif
Black,75,50,115,6.5,1300,35,Sugarcane,Urea,Kharif
Black,80,50,115,6.5,1300,35,Sugarcane,Urea,Kharif
Black,85,50,115,6.5,1300,35,Sugarcane,Urea,Kharif
Black,90,50,115,6.5,1300,35,Sugarcane,Urea,Kharif
Black,95,50,115,6.5,1300,35,Sugarcane,Urea,Kharif
Black,100,50,115,6.5,1300,35,Sugarcane,Urea,Kharif
Black,75,55,100,7,1400,20,Sugarcane,DAP,Kharif
Black,80,55,100,7,1400,20,Sugarcane,DAP,Kharif
Black,85,55,100,7,1400,20,Sugarcane,DAP,Kharif
Black,90,55,100,7,1400,20,Sugarcane,DAP,Kharif
Black,95,55,100,7,1400,20,Sugarcane,DAP,Kharif
Black,100,55,100,7,1400,20,Sugarcane,DAP,Kharif
Black,75,60,105,7.5,1500,25,Sugarcane,DAP,Kharif
Black,80,60,105,7.5,1500,25,Sugarcane,DAP,Kharif
Black,85,60,105,7.5,1500,25,Sugarcane,DAP,Kharif
Black,90,60,105,7.5,1500,25,Sugarcane,DAP,Kharif
Black,95,60,105,7.5,1500,25,Sugarcane,DAP,Kharif
Black,100,60,105,7.5,1500,25,Sugarcane,DAP,Kharif
Black,75,50,110,6.5,1000,30,Sugarcane,DAP,Kharif
Black,80,50,110,6.5,1000,30,Sugarcane,DAP,Kharif
Black,85,50,110,6.5,1000,30,Sugarcane,DAP,Kharif
Black,90,50,110,6.5,1000,30,Sugarcane,DAP,Kharif
Black,95,50,110,6.5,1000,30,Sugarcane,DAP,Kharif
Black,100,50,110,6.5,1000,30,Sugarcane,DAP,Kharif
Black,75,55,115,7,1100,35,Sugarcane,DAP,Kharif
Black,80,55,115,7,1100,35,Sugarcane,DAP,Kharif
Black,85,55,115,7,1100,35,Sugarcane,DAP,Kharif
Black,90,55,115,7,1100,35,Sugarcane,DAP,Kharif
Black,95,55,115,7,1100,35,Sugarcane,DAP,Kharif
Black,100,55,115,7,1100,35,Sugarcane,DAP,Kharif
Black,75,60,100,7.5,1200,20,Sugarcane,MOP,Kharif
Black,80,60,100,7.5,1200,20,Sugarcane,MOP,Kharif
Black,85,60,100,7.5,1200,20,Sugarcane,MOP,Kharif
Black,90,60,100,7.5,1200,20,Sugarcane,MOP,Kharif
Black,95,60,100,7.5,1200,20,Sugarcane,MOP,Kharif
Black,100,60,100,7.5,1200,20,Sugarcane,MOP,Kharif
Black,75,50,105,6.5,1300,25,Sugarcane,MOP,Kharif
Black,80,50,105,6.5,1300,25,Sugarcane,MOP,Kharif
Black,85,50,105,6.5,1300,25,Sugarcane,MOP,Kharif
Black,90,50,105,6.5,1300,25,Sugarcane,MOP,Kharif
Black,95,50,105,6.5,1300,25,Sugarcane,MOP,Kharif
Black,100,50,105,6.5,1300,25,Sugarcane,MOP,Kharif
Black,75,55,110,7,1400,30,Sugarcane,MOP,Kharif
Black,80,55,110,7,1400,30,Sugarcane,MOP,Kharif
Black,85,55,110,7,1400,30,Sugarcane,MOP,Kharif
Black,90,55,110,7,1400,30,Sugarcane,MOP,Kharif
Black,95,55,110,7,1400,30,Sugarcane,MOP,Kharif
Black,100,55,110,7,1400,30,Sugarcane,MOP,Kharif
Black,75,60,115,7.5,1500,35,Sugarcane,MOP,Kharif
Black,80,60,115,7.5,1500,35,Sugarcane,MOP,Kharif
Black,85,60,115,7.5,1500,35,Sugarcane,MOP,Kharif
Black,90,60,115,7.5,1500,35,Sugarcane,MOP,Kharif
Black,95,60,115,7.5,1500,35,Sugarcane,MOP,Kharif
Black,100,60,115,7.5,1500,35,Sugarcane,MOP,Kharif
Black,20,25,25,6.5,600,25,Jowar,10:26:26 NPK,Kharif
Black,25,25,25,6.5,600,25,Jowar,10:26:26 NPK,Rabi
Black,30,25,25,6.5,600,25,Jowar,10:26:26 NPK,Rabi
Black,35,25,25,6.5,600,25,Jowar,10:26:26 NPK,Rabi
Black,40,25,25,6.5,600,25,Jowar,10:26:26 NPK,Rabi
Black,20,30,30,7,700,30,Jowar,10:26:26 NPK,Rabi
Black,25,30,30,7,700,30,Jowar,10:26:26 NPK,Rabi
